"id","codbarras","nome","preco_venda"
57517,"7898100195473",BRINQ.CARINHO 547 COELH8 OPCAO M,"65,9"
57518,"7898100195466",BRINQ.CARINHO 546 COELH8 GRAVATA M,"65,9"
57519,"7898100195756",BRINQ.CARINHO COELHO 575 CENOURA PP,"39,9"
57520,"7898396960052","ALCOOL MEGA 46,2º 1L","4,95"
57523,"7892840814861",BATATA PALHA NAMESA 110GR,"6,95"
57531,"7895430102201","AROMAT.AUTOFRESH 6,5G AFRODISIAC","12,95"
57532,"7898436140574",TINTA SPRAY COLOR AZUL 400ML,"16,95"
57533,"7899674018090",ODORIZ.GEL ULTRAFRESH MORANGO 60GR,"9,95"
57534,"7899674018045",ODORIZ.GEL ULTRA FRESH 60G CITRUS,"9,95"
57535,"7899674018106",ODORIZ.GEL ULTRAFRESH CAR.NOVO 60GR,"9,95"
57536,"7898436147764",SILICONE GT200 100ML,"9,95"
57537,"7898173503946",SILICONE RADNAQ 200G,"14,95"
57538,"7896011106397",BISC.RECH.CARTOON BRIGADEIRO 140GR,"1,69"
57539,"7622210661852",BISC.BELVITA 75G CACAU,"2,98"
57540,"7622210782915",BISC.CLUB SOCIAL CROST.TOMATE 80GR,"3,69"
57541,"7622210782878",BISC.CLUB SOCIAL CROST.QUEIJO 80GR,"3,69"
57542,"7896000530264",SUCO MAGUARY 1L GOIABA,"4,99"
57543,"7896000595775",CHA NATURAL TEA VERDE LIMAO 335ML,"3,79"
57544,"7896000595737",CHA NATURAL TEA VERDE LAR.GEN 335ML,"3,79"
57545,"7896000596390",CHA NATURAL TEA BRANCO PITAYA 335ML,"3,79"
57546,"7896000596406",CHA NATURAL TEA BRANCO HIBISC 335ML,"3,79"
57547,"7896256600520",IOG.TIROL NATURAL DESNAT.MEL 160GR,"1,95"
57548,"7898185413820",AROMAT.BUCAL DENTIL 20ML SPRAY,"3,99"
57550,"575508",BANDEJA BP56 CRISTAL 300X122,"0"
57551,"7899616000862",TAPETE CAPACHO ROZAC 33X60CM,"32,5"
